label,radial_disp_um,xdisp_mm,ydisp_mm,src_radius_mm,hits_TL,hits_ML,hits_BL,hits_TR,hits_MR,hits_BR
r0_x-2.5_y-2.5_R1.25,0,-2.5,-2.5,1.25,96512449,99493267,99819661,94232017,95352712,98008837

r0_x-2.5_y-2.5_R15,0,-2.5,-2.5,15,96459029,99620000,99782085,94351459,95310342,98151415

r0_x-2.5_y0_R1.25,0,-2.5,0,1.25,98162766,99511551,98176042,96118506,95366476,96121289

r0_x-2.5_y0_R15,0,-2.5,0,15,98097534,99648255,98118333,96226412,95344750,96236202

r0_x-2.5_y2.5_R1.25,0,-2.5,2.5,1.25,99831009,99506902,96513794,98026409,95362006,94232423

r0_x-2.5_y2.5_R15,0,-2.5,2.5,15,99776033,99626676,96483685,98125018,95314189,94338689

r0_x-2.5_y5_R1.25,0,-2.5,5,1.25,101528988,99435471,94872965,99985927,95302443,92394998

r0_x-2.5_y5_R15,0,-2.5,5,15,101454889,99552929,94848180,100090783,95259849,92518428

r0_x0_y-5_R1.25,0,0,-5,1.25,94021092,97150610,100523784,93421020,97146679,101215453

r0_x0_y-5_R15,0,0,-5,15,93993635,97273916,100448972,93543671,97101720,101343055

r0_x0_y-2.5_R1.25,0,0,-2.5,1.25,95606072,97216674,98864656,95306558,97203164,99215086

r0_x0_y-2.5_R15,0,0,-2.5,15,95575118,97330676,98826215,95425862,97171772,99331077

r0_x0_y0_R1.25,0,0,0,1.25,97253192,97225665,97226766,97255936,97232239,97240052

r0_x0_y0_R15,0,0,0,15,97193002,97370138,97195037,97358049,97170589,97366284

r0_x0_y2.5_R1.25,0,0,2.5,1.25,98885418,97213464,95604730,99208271,97216478,95308104

r0_x0_y2.5_R15,0,0,2.5,15,98821724,97328027,95567620,99313334,97184990,95427098

r0_x0_y5_R1.25,0,0,5,1.25,100533776,97141134,94034064,101221456,97137090,93425079

r0_x0_y5_R15,0,0,5,15,100460109,97270842,94001885,101338584,97104482,93543051

r0_x2.5_y-5_R1.25,0,2.5,-5,1.25,93146633,94940416,99502334,94458892,99021188,102445051

r0_x2.5_y-5_R15,0,2.5,-5,15,93101473,95053998,99448166,94586510,98973039,102550367

r0_x2.5_y-2.5_R1.25,0,2.5,-2.5,1.25,94708751,95011341,97889529,96382438,99116691,100371146

r0_x2.5_y-2.5_R15,0,2.5,-2.5,15,94676692,95128404,97846084,96483122,99055344,100497929

r0_x2.5_y0_R1.25,0,2.5,0,1.25,96276146,95011773,96285537,98342388,99119834,98348523

r0_x2.5_y0_R15,0,2.5,0,15,96241593,95124502,96258635,98469302,99091370,98482489

r0_x2.5_y2.5_R1.25,0,2.5,2.5,1.25,97903685,95001456,94701821,100384887,99112339,96380144

r0_x2.5_y2.5_R15,0,2.5,2.5,15,97828274,95111774,94671591,100480385,99072095,96497105

r0_x2.5_y5_R1.25,0,2.5,5,1.25,99487942,94945699,93126993,102437993,99026335,94442229

r0_x2.5_y5_R15,0,2.5,5,15,99456594,95050275,93101611,102561078,98979763,94568037

r0_x5_y-5_R1.25,0,5,-5,1.25,92226968,92809327,98449067,95461320,100966668,103626671

r0_x5_y-5_R15,0,5,-5,15,92210714,92909948,98384969,95558299,100932638,103777586

r0_x5_y-2.5_R1.25,0,5,-2.5,1.25,93753426,92859761,96864393,97435649,101015440,101524398

r0_x5_y-2.5_R15,0,5,-2.5,15,93730517,92965082,96833983,97549952,100981555,101622242

r0_x5_y0_R1.25,0,5,0,1.25,95321335,92872641,95294668,99458016,101052018,99453950

r0_x5_y0_R15,0,5,0,15,95273944,92994976,95269829,99587842,101012802,99581727

r0_x5_y2.5_R1.25,0,5,2.5,1.25,96895496,92871798,93768374,101527902,101011581,97444589

r0_x5_y2.5_R15,0,5,2.5,15,96838670,92975305,93734025,101653293,100977904,97540702

r0_x5_y5_R1.25,0,5,5,1.25,98460619,92812986,92228854,103633947,100962849,95443515

r0_x5_y5_R15,0,5,5,15,98402798,92907721,92213784,103765185,100901994,95573873

r100_x-5_y-5_R1.25,100,-5,-5,1.25,95629117,101669758,102406582,91280861,93405500,98663995

r100_x-5_y-5_R15,100,-5,-5,15,95614179,101806951,102334726,91365753,93345335,98766794

r100_x-5_y-2.5_R1.25,100,-5,-2.5,1.25,97305695,101776234,100705404,93046067,93451873,96731478

r100_x-5_y-2.5_R15,100,-5,-2.5,15,97270098,101881077,100605185,93177071,93418210,96870321

r100_x-5_y0_R1.25,100,-5,0,1.25,98991490,101781808,98972457,94890459,93479616,94880844

r100_x-5_y0_R15,100,-5,0,15,98944029,101920073,98924822,94983673,93444582,94987285

r100_x-5_y2.5_R1.25,100,-5,2.5,1.25,100687848,101774855,97307930,96737138,93459302,93056223

r100_x-5_y2.5_R15,100,-5,2.5,15,100640977,101870813,97261675,96860923,93425512,93162997

r100_x-5_y5_R1.25,100,-5,5,1.25,102388192,101688382,95636810,98647928,93374720,91263052

r100_x-5_y5_R15,100,-5,5,15,102339613,101812290,95607929,98758871,93373323,91379383

r100_x-2.5_y-5_R1.25,100,-2.5,-5,1.25,94814137,99341379,101411470,92322872,95219255,99894035

r100_x-2.5_y-5_R15,100,-2.5,-5,15,94756407,99465396,101383338,92429522,95181086,100020959

r100_x-2.5_y-2.5_R1.25,100,-2.5,-2.5,1.25,96440920,99408552,99759952,94151861,95281220,97953254

r100_x-2.5_y-2.5_R15,100,-2.5,-2.5,15,96385373,99527158,99722285,94253019,95243333,98051616

r100_x-2.5_y0_R1.25,100,-2.5,0,1.25,98078324,99420864,98107765,96027817,95308191,96035179

r100_x-2.5_y0_R15,100,-2.5,0,15,98048476,99564303,98051397,96134770,95254863,96130334

r100_x-2.5_y2.5_R1.25,100,-2.5,2.5,1.25,99745257,99388027,96435957,97914658,95274730,94146052

r100_x-2.5_y2.5_R15,100,-2.5,2.5,15,99714968,99521182,96395922,98065224,95244490,94255194

r100_x-2.5_y5_R1.25,100,-2.5,5,1.25,101430455,99345162,94806335,99892949,95216562,92312404

r100_x-2.5_y5_R15,100,-2.5,5,15,101375690,99438065,94760975,100015468,95185301,92420791

r100_x0_y-5_R1.25,100,0,-5,1.25,93946450,97059060,100437898,93344931,97078131,101120398

r100_x0_y-5_R15,100,0,-5,15,93904630,97182363,100374276,93452175,97041097,101246515

r100_x0_y-2.5_R1.25,100,0,-2.5,1.25,95559683,97129266,98806698,95238642,97132375,99126520

r100_x0_y-2.5_R15,100,0,-2.5,15,95508314,97237164,98738816,95355987,97098605,99239804

r100_x0_y0_R1.25,100,0,0,1.25,97170870,97154467,97161467,97158632,97133084,97149301

r100_x0_y0_R15,100,0,0,15,97112704,97260712,97127070,97280565,97111538,97256026

r100_x0_y2.5_R1.25,100,0,2.5,1.25,98792128,97132448,95569316,99112149,97122158,95227407

r100_x0_y2.5_R15,100,0,2.5,15,98750188,97264784,95490132,99249806,97100170,95346308

r100_x0_y5_R1.25,100,0,5,1.25,100464804,97063179,93944937,101134370,97077223,93332277

r100_x0_y5_R15,100,0,5,15,100375218,97171467,93915799,101250241,97041828,93465575

r100_x2.5_y-5_R1.25,100,2.5,-5,1.25,93071441,94855912,99416073,94376088,98959422,102368943

r100_x2.5_y-5_R15,100,2.5,-5,15,93050353,94966312,99369058,94476313,98903589,102466771

r100_x2.5_y-2.5_R1.25,100,2.5,-2.5,1.25,94631418,94912956,97806209,96292165,99034441,100305933

r100_x2.5_y-2.5_R15,100,2.5,-2.5,15,94605357,95029038,97789527,96417945,98991194,100393535

r100_x2.5_y0_R1.25,100,2.5,0,1.25,96211411,94938465,96234872,98259216,99043336,98257706

r100_x2.5_y0_R15,100,2.5,0,15,96183384,95054871,96181045,98411897,99015789,98385736

r100_x2.5_y2.5_R1.25,100,2.5,2.5,1.25,97819375,94928500,94620632,100276618,99019235,96292788

r100_x2.5_y2.5_R15,100,2.5,2.5,15,97760200,95035414,94614197,100383604,99003118,96410905

r100_x2.5_y5_R1.25,100,2.5,5,1.25,99421595,94866210,93064696,102354681,98981189,94390213

r100_x2.5_y5_R15,100,2.5,5,15,99379663,94953604,93041072,102488381,98907077,94469631

r100_x5_y-5_R1.25,100,5,-5,1.25,92162943,92729210,98369048,95368030,100897979,103539238

r100_x5_y-5_R15,100,5,-5,15,92132503,92821484,98341528,95475809,100835556,103671546

r100_x5_y-2.5_R1.25,100,5,-2.5,1.25,93683911,92766436,96787860,97337809,100963111,101429495

r100_x5_y-2.5_R15,100,5,-2.5,15,93663406,92896944,96761460,97450983,100916768,101552244

r100_x5_y0_R1.25,100,5,0,1.25,95250482,92801619,95247203,99376628,100987890,99349146

r100_x5_y0_R15,100,5,0,15,95190359,92920868,95210259,99480342,100902114,99483303

r100_x5_y2.5_R1.25,100,5,2.5,1.25,96782497,92779319,93696593,101425281,100975510,97344183

r100_x5_y2.5_R15,100,5,2.5,15,96760041,92902138,93661499,101541749,100891820,97461365

r100_x5_y5_R1.25,100,5,5,1.25,98381997,92715653,92161171,103543761,100890307,95384165

r100_x5_y5_R15,100,5,5,15,98328560,92842841,92141940,103682415,100835351,95465552

r400_x-5_y-5_R1.25,400,-5,-5,1.25,95426020,101403960,102186707,91023481,93185186,98353719

r400_x-5_y-5_R15,400,-5,-5,15,95389041,101530954,102090107,91133082,93146784,98489786

r400_x-5_y-2.5_R1.25,400,-5,-2.5,1.25,97083397,101482346,100467421,92809404,93259471,96476515

r400_x-5_y-2.5_R15,400,-5,-2.5,15,97046870,101608060,100410277,92927745,93217474,96585293

r400_x-5_y0_R1.25,400,-5,0,1.25,98756259,101504052,98766245,94614219,93266603,94614744

r400_x-5_y0_R15,400,-5,0,15,98709112,101612879,98706352,94730091,93239799,94735875

r400_x-5_y2.5_R1.25,400,-5,2.5,1.25,100466426,101482274,97090677,96475473,93254136,92811051

r400_x-5_y2.5_R15,400,-5,2.5,15,100399904,101606869,97058647,96596010,93213856,92914243

r400_x-5_y5_R1.25,400,-5,5,1.25,102172382,101408041,95401489,98374868,93164759,91012256

r400_x-5_y5_R15,400,-5,5,15,102125280,101536820,95388142,98496691,93143199,91139972

r400_x-2.5_y-5_R1.25,400,-2.5,-5,1.25,94599579,99057348,101218671,92080897,94988982,99623517

r400_x-2.5_y-5_R15,400,-2.5,-5,15,94556763,99195909,101148200,92175760,94969105,99745449

r400_x-2.5_y-2.5_R1.25,400,-2.5,-2.5,1.25,96204505,99134840,99508748,93894466,95064051,97670250

r400_x-2.5_y-2.5_R15,400,-2.5,-2.5,15,96183189,99249330,99465545,94013260,95029201,97786249

r400_x-2.5_y0_R1.25,400,-2.5,0,1.25,97852055,99148497,97859191,95754687,95093803,95759546

r400_x-2.5_y0_R15,400,-2.5,0,15,97817951,99293363,97806300,95884478,95048507,95866178

r400_x-2.5_y2.5_R1.25,400,-2.5,2.5,1.25,99545979,99136739,96193114,97658222,95070598,93890064

r400_x-2.5_y2.5_R15,400,-2.5,2.5,15,99464246,99253051,96164228,97806544,95017252,94000453

r400_x-2.5_y5_R1.25,400,-2.5,5,1.25,101204238,99060047,94581532,99625360,95004807,92075390

r400_x-2.5_y5_R15,400,-2.5,5,15,101135697,99168747,94550452,99729562,94942211,92172720

r400_x0_y-5_R1.25,400,0,-5,1.25,93736164,96782483,100218776,93111356,96849362,100844615

r400_x0_y-5_R15,400,0,-5,15,93718988,96918773,100149248,93210731,96813700,100961320

r400_x0_y-2.5_R1.25,400,0,-2.5,1.25,95333999,96869737,98586632,94963654,96922899,98845780

r400_x0_y-2.5_R15,400,0,-2.5,15,95292966,96977315,98538526,95084544,96871696,98949999

r400_x0_y0_R1.25,400,0,0,1.25,96931059,96884953,96954599,96892485,96930355,96879261

r400_x0_y0_R15,400,0,0,15,96920186,97002276,96925413,96998949,96896370,97003540

r400_x0_y2.5_R1.25,400,0,2.5,1.25,98565848,96853219,95335141,98860228,96924558,94958035

r400_x0_y2.5_R15,400,0,2.5,15,98504104,96976501,95299058,98972944,96858834,95075665

r400_x0_y5_R1.25,400,0,5,1.25,100231689,96808912,93732574,100844160,96850814,93087690

r400_x0_y5_R15,400,0,5,15,100155776,96904512,93698591,100976353,96801676,93199827

r400_x2.5_y-5_R1.25,400,2.5,-5,1.25,92845414,94589257,99197626,94112962,98735296,102044961

r400_x2.5_y-5_R15,400,2.5,-5,15,92820710,94702914,99131289,94213688,98678374,102170282

r400_x2.5_y-2.5_R1.25,400,2.5,-2.5,1.25,94433580,94664260,97580343,96026254,98811830,99999494

r400_x2.5_y-2.5_R15,400,2.5,-2.5,15,94377806,94785990,97545837,96127205,98757856,100139122

r400_x2.5_y0_R1.25,400,2.5,0,1.25,95997148,94685026,95996361,97999257,98830954,98012358

r400_x2.5_y0_R15,400,2.5,0,15,95988533,94782500,95954179,98096969,98776423,98084956

r400_x2.5_y2.5_R1.25,400,2.5,2.5,1.25,97590246,94653027,94419328,100005544,98797428,96041505

r400_x2.5_y2.5_R15,400,2.5,2.5,15,97534174,94769777,94402926,100106913,98761469,96134627

r400_x2.5_y5_R1.25,400,2.5,5,1.25,99191019,94604505,92852596,102055879,98730459,94102816

r400_x2.5_y5_R15,400,2.5,5,15,99132244,94724319,92830150,102161956,98683969,94226176

r400_x5_y-5_R1.25,400,5,-5,1.25,91929845,92463688,98138364,95094503,100638651,103240613

r400_x5_y-5_R15,400,5,-5,15,91939099,92586535,98101275,95209208,100588041,103383277

r400_x5_y-2.5_R1.25,400,5,-2.5,1.25,93467802,92518557,96586702,97080671,100719002,101154688

r400_x5_y-2.5_R15,400,5,-2.5,15,93448470,92635470,96527235,97189067,100671780,101286519

r400_x5_y0_R1.25,400,5,0,1.25,95029725,92572546,95021806,99081542,100748717,99096779

r400_x5_y0_R15,400,5,0,15,94996155,92653023,94982586,99211822,100711588,99215675

r400_x5_y2.5_R1.25,400,5,2.5,1.25,96573083,92545865,93475913,101142226,100734378,97083798

r400_x5_y2.5_R15,400,5,2.5,15,96550468,92634605,93449362,101263825,100679775,97201158

r400_x5_y5_R1.25,400,5,5,1.25,98160840,92474294,91925598,103273304,100660457,95110113

r400_x5_y5_R15,400,5,5,15,98100768,92580108,91912597,103376633,100595843,95230680
